AQI,Station_name,Time
170,"Sector-51, Gurugram, India",2023-12-05 02:00:00
166,"Sector-51, Gurugram, India",2023-12-05 03:00:00
166,"Sector-51, Gurugram, India",2023-12-05 04:00:00
109,"Sector-51, Gurugram, India",2023-12-05 11:00:00
193,"Sector-51, Gurugram, India",2023-12-05 15:00:00
190,"Sector-51, Gurugram, India",2023-12-05 19:00:00
185,"Sector-51, Gurugram, India",2023-12-07 04:00:00
177,"Sector-51, Gurugram, India",2023-12-07 05:00:00
158,"Sector-51, Gurugram, India",2023-12-07 07:00:00
159,"Sector-51, Gurugram, India",2023-12-07 08:00:00
82,"Sector-51, Gurugram, India",2023-12-07 09:00:00
207,"Sector-51, Gurugram, India",2023-12-07 10:00:00
226,"Sector-51, Gurugram, India",2023-12-07 13:00:00
184,"Sector-51, Gurugram, India",2023-12-08 05:00:00
177,"Sector-51, Gurugram, India",2023-12-08 07:00:00
176,"Sector-51, Gurugram, India",2023-12-08 08:00:00
175,"Sector-51, Gurugram, India",2023-12-08 09:00:00
183,"Sector-51, Gurugram, India",2023-12-08 11:00:00
171,"Sector-51, Gurugram, India",2023-12-08 13:00:00
160,"Sector-51, Gurugram, India",2023-12-08 15:00:00
168,"Sector-51, Gurugram, India",2023-12-08 16:00:00
170,"Sector-51, Gurugram, India",2023-12-08 18:00:00
171,"Sector-51, Gurugram, India",2023-12-08 19:00:00
225,"Sector-51, Gurugram, India",2023-12-08 21:00:00
127,"Sector-51, Gurugram, India",2023-12-08 22:00:00
342,"Sector-51, Gurugram, India",2023-12-08 23:00:00
431,"Sector-51, Gurugram, India",2023-12-09 00:00:00
296,"Sector-51, Gurugram, India",2023-12-09 01:00:00
288,"Sector-51, Gurugram, India",2023-12-09 02:00:00
294,"Sector-51, Gurugram, India",2023-12-09 03:00:00
271,"Sector-51, Gurugram, India",2023-12-09 04:00:00
247,"Sector-51, Gurugram, India",2023-12-09 05:00:00
198,"Sector-51, Gurugram, India",2023-12-09 07:00:00
214,"Sector-51, Gurugram, India",2023-12-09 08:00:00
229,"Sector-51, Gurugram, India",2023-12-09 09:00:00
280,"Sector-51, Gurugram, India",2023-12-09 10:00:00
184,"Sector-51, Gurugram, India",2023-12-09 11:00:00
171,"Sector-51, Gurugram, India",2023-12-09 12:00:00
151,"Sector-51, Gurugram, India",2023-12-09 14:00:00
152,"Sector-51, Gurugram, India",2023-12-09 15:00:00
131,"Sector-51, Gurugram, India",2023-12-09 16:00:00
118,"Sector-51, Gurugram, India",2023-12-09 17:00:00
125,"Sector-51, Gurugram, India",2023-12-09 18:00:00
135,"Sector-51, Gurugram, India",2023-12-09 19:00:00
166,"Sector-51, Gurugram, India",2023-12-09 20:00:00
196,"Sector-51, Gurugram, India",2023-12-09 21:00:00
216,"Sector-51, Gurugram, India",2023-12-09 22:00:00
259,"Sector-51, Gurugram, India",2023-12-09 23:00:00
192,"Sector-51, Gurugram, India",2023-12-10 00:00:00
188,"Sector-51, Gurugram, India",2023-12-10 01:00:00
189,"Sector-51, Gurugram, India",2023-12-10 02:00:00
182,"Sector-51, Gurugram, India",2023-12-10 04:00:00
