AQI,Station_name,Time
211,"NISE Gwal Pahari, Gurugram, India",2023-12-05 10:00:00
149,"NISE Gwal Pahari, Gurugram, India",2023-12-05 15:00:00
158,"NISE Gwal Pahari, Gurugram, India",2023-12-05 19:00:00
180,"NISE Gwal Pahari, Gurugram, India",2023-12-07 01:00:00
182,"NISE Gwal Pahari, Gurugram, India",2023-12-07 07:00:00
223,"NISE Gwal Pahari, Gurugram, India",2023-12-08 05:00:00
193,"NISE Gwal Pahari, Gurugram, India",2023-12-08 07:00:00
188,"NISE Gwal Pahari, Gurugram, India",2023-12-08 08:00:00
169,"NISE Gwal Pahari, Gurugram, India",2023-12-08 11:00:00
170,"NISE Gwal Pahari, Gurugram, India",2023-12-08 12:00:00
22,"NISE Gwal Pahari, Gurugram, India",2023-12-08 15:00:00
31,"NISE Gwal Pahari, Gurugram, India",2023-12-08 21:00:00
138,"NISE Gwal Pahari, Gurugram, India",2023-12-08 22:00:00
164,"NISE Gwal Pahari, Gurugram, India",2023-12-08 23:00:00
172,"NISE Gwal Pahari, Gurugram, India",2023-12-09 00:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-12-09 01:00:00
182,"NISE Gwal Pahari, Gurugram, India",2023-12-09 02:00:00
184,"NISE Gwal Pahari, Gurugram, India",2023-12-09 03:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-12-09 04:00:00
175,"NISE Gwal Pahari, Gurugram, India",2023-12-09 05:00:00
189,"NISE Gwal Pahari, Gurugram, India",2023-12-09 07:00:00
184,"NISE Gwal Pahari, Gurugram, India",2023-12-09 08:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-12-09 09:00:00
185,"NISE Gwal Pahari, Gurugram, India",2023-12-09 10:00:00
178,"NISE Gwal Pahari, Gurugram, India",2023-12-09 13:00:00
151,"NISE Gwal Pahari, Gurugram, India",2023-12-09 18:00:00
161,"NISE Gwal Pahari, Gurugram, India",2023-12-09 19:00:00
167,"NISE Gwal Pahari, Gurugram, India",2023-12-09 20:00:00
176,"NISE Gwal Pahari, Gurugram, India",2023-12-09 21:00:00
186,"NISE Gwal Pahari, Gurugram, India",2023-12-09 22:00:00
181,"NISE Gwal Pahari, Gurugram, India",2023-12-09 23:00:00
177,"NISE Gwal Pahari, Gurugram, India",2023-12-10 00:00:00
179,"NISE Gwal Pahari, Gurugram, India",2023-12-10 01:00:00
177,"NISE Gwal Pahari, Gurugram, India",2023-12-10 02:00:00
183,"NISE Gwal Pahari, Gurugram, India",2023-12-10 04:00:00
181,"NISE Gwal Pahari, Gurugram, India",2023-12-10 05:00:00
183,"NISE Gwal Pahari, Gurugram, India",2023-12-10 07:00:00
183,"NISE Gwal Pahari, Gurugram, India",2023-12-10 08:00:00
