,Date,AQI
245,2020-11-05,547.0
246,2020-11-06,648.0
247,2020-11-07,596.0
248,2020-11-08,790.0
249,2020-11-09,937.0
250,2020-11-10,688.0
251,2020-11-11,343.0
252,2020-11-12,419.0
253,2020-11-13,366.0
254,2020-11-14,460.0
255,2020-11-15,455.0
256,2020-11-16,248.0
257,2020-11-17,193.0
258,2020-11-18,142.0
259,2020-11-19,198.0
260,2020-11-20,287.0
261,2020-11-21,205.0
262,2020-11-22,239.0
263,2020-11-23,340.0
264,2020-11-24,279.0
265,2020-11-25,320.0
266,2020-11-26,178.0
267,2020-11-27,95.0
268,2020-11-28,180.0
269,2020-11-29,339.0
270,2020-11-30,323.0
271,2020-12-01,325.0
272,2020-12-02,320.0
273,2020-12-03,347.0
274,2020-12-04,310.0
275,2020-12-05,311.0
276,2020-12-06,316.0
277,2020-12-07,340.0
278,2020-12-08,338.0
279,2020-12-09,321.0
280,2020-12-10,261.0
281,2020-12-11,314.0
282,2020-12-12,305.0
283,2020-12-13,136.0
284,2020-12-14,87.0
285,2020-12-15,193.0
286,2020-12-16,221.0
287,2020-12-17,250.0
288,2020-12-18,175.0
289,2020-12-19,282.0
290,2020-12-20,302.0
291,2020-12-21,326.0
292,2020-12-22,422.0
293,2020-12-23,380.0
294,2020-12-24,383.0
295,2020-12-25,307.0
296,2020-12-26,384.0
297,2020-12-27,344.0
298,2020-12-28,197.0
299,2020-12-29,298.0
300,2020-12-30,249.0
301,2020-12-31,331.0
302,2021-01-01,402.0
303,2021-01-02,334.0
304,2021-01-03,224.0
305,2021-01-04,96.0
306,2021-01-05,84.0
307,2021-01-06,259.0
308,2021-01-07,151.0
309,2021-01-08,191.0
310,2021-01-09,208.0
311,2021-01-10,206.0
312,2021-01-11,153.0
313,2021-01-12,301.0
314,2021-01-13,366.0
315,2021-01-14,381.0
316,2021-01-15,465.0
317,2021-01-16,357.0
318,2021-01-17,357.0
319,2021-01-18,370.0
320,2021-01-19,392.0
321,2021-01-20,178.0
322,2021-01-21,320.0
323,2021-01-22,374.0
324,2021-01-23,307.0
325,2021-01-24,304.0
326,2021-01-25,326.0
327,2021-01-26,347.0
328,2021-01-27,352.0
329,2021-01-28,380.0
330,2021-01-29,360.0
331,2021-01-30,330.0
332,2021-01-31,370.0
333,2021-02-01,350.0
334,2021-02-02,437.0
335,2021-02-03,358.0
336,2021-02-04,335.0
337,2021-02-05,288.0
338,2021-02-06,251.0
339,2021-02-07,335.0
340,2021-02-08,488.0
341,2021-02-09,356.0
342,2021-02-10,310.0
343,2021-02-11,372.0
344,2021-02-12,409.0
345,2021-02-13,386.0
346,2021-02-14,417.0
347,2021-02-15,362.0
348,2021-02-16,367.0
349,2021-02-17,388.0
350,2021-02-18,392.0
351,2021-02-19,398.0
352,2021-02-20,328.0
353,2021-02-21,361.0
354,2021-02-22,353.0
355,2021-02-23,365.0
356,2021-02-24,327.0
357,2021-02-25,333.0
358,2021-02-26,286.0
359,2021-02-27,263.0
360,2021-02-28,310.0
361,2021-03-01,244.0
362,2021-03-02,274.0
363,2021-03-03,301.0
364,2021-03-04,321.0
365,2021-03-05,329.0
366,2021-03-06,274.0
367,2021-03-07,234.0
368,2021-03-08,228.0
369,2021-03-09,298.0
370,2021-03-10,221.0
371,2021-03-11,355.0
372,2021-03-12,347.0
373,2021-03-13,314.0
374,2021-03-14,263.0
375,2021-03-15,234.0
376,2021-03-16,308.0
377,2021-03-17,363.0
378,2021-03-18,451.0
379,2021-03-19,269.0
380,2021-03-20,293.0
381,2021-03-21,302.0
382,2021-03-22,187.0
383,2021-03-23,199.0
384,2021-03-24,142.0
385,2021-03-25,175.0
386,2021-03-26,218.0
387,2021-03-27,265.0
388,2021-03-28,315.0
389,2021-03-29,303.0
390,2021-03-30,383.0
391,2021-03-31,205.0
392,2021-04-01,204.0
393,2021-04-02,154.0
394,2021-04-03,160.0
395,2021-04-04,301.0
396,2021-04-05,323.0
397,2021-04-06,331.0
398,2021-04-07,324.0
399,2021-04-08,177.0
400,2021-04-09,203.0
401,2021-04-10,199.0
402,2021-04-11,229.0
403,2021-04-12,309.0
404,2021-04-13,251.0
405,2021-04-14,207.0
406,2021-04-15,244.0
407,2021-04-16,302.0
