Datetime,PM2.5,PM2.5_24_avg,Day,Month,Year,Week,Hour,PM2.5_24_avg_Sub_Index,AQI_calculated,AQI_first_diff,PM2.5_first_diff
2020-03-05,52.93,60.251927083333335,5.0,3.0,2020.0,10.0,11.5,100.375,100.54166666666667,-0.625,-1.7154166666666668
2020-03-06,22.327083333333334,32.732829861111114,6.0,3.0,2020.0,10.0,11.5,53.833333333333336,55.958333333333336,-1.8333333333333333,0.4541666666666668
2020-03-07,42.12416666666667,29.576336805555556,7.0,3.0,2020.0,10.0,11.5,48.583333333333336,49.416666666666664,1.2083333333333333,2.5566666666666666
2020-03-08,68.285,65.33046875,8.0,3.0,2020.0,10.0,11.5,119.20833333333333,120.20833333333333,2.2083333333333335,-0.9233333333333339
2020-03-09,84.63708333333334,79.03831597222222,9.0,3.0,2020.0,11.0,11.5,161.95833333333334,162.625,2.3333333333333335,3.6875
2020-03-10,99.32333333333334,97.90576388888888,10.0,3.0,2020.0,11.0,11.5,224.0,224.54166666666666,1.9583333333333333,-3.889166666666666
2020-03-11,58.711666666666666,65.79574652777778,11.0,3.0,2020.0,11.0,11.5,118.16666666666667,118.75,-5.458333333333333,-0.2637500000000002
2020-03-12,60.55666666666667,60.163402777777776,12.0,3.0,2020.0,11.0,11.5,99.20833333333333,99.75,0.041666666666666664,-0.02916666666666649
2020-03-13,67.44291666666666,64.20491319444444,13.0,3.0,2020.0,11.0,11.5,111.33333333333333,112.0,1.0,-0.13833333333333334
2020-03-14,44.357499999999995,52.990885416666664,14.0,3.0,2020.0,11.0,11.5,88.5,88.95833333333333,-2.0416666666666665,-0.1995833333333333
2020-03-15,60.294999999999995,49.139965277777776,15.0,3.0,2020.0,11.0,11.5,81.04166666666667,81.625,1.0416666666666667,3.318333333333333
2020-03-16,105.98833333333333,96.62657986111111,16.0,3.0,2020.0,12.0,11.5,220.54166666666666,221.0,6.375,1.4654166666666673
2020-03-17,115.42375,122.73675347222223,17.0,3.0,2020.0,12.0,11.5,297.9166666666667,298.375,1.3333333333333333,-1.8212500000000003
2020-03-18,120.36,112.73027777777777,18.0,3.0,2020.0,12.0,11.5,273.25,273.7916666666667,0.7083333333333334,-1.37625
2020-03-19,81.06166666666667,89.53715277777776,19.0,3.0,2020.0,12.0,11.5,197.125,197.625,-5.5,-0.3862499999999998
2020-03-20,94.3325,83.55312500000001,20.0,3.0,2020.0,12.0,11.5,177.125,177.58333333333334,1.7916666666666667,1.12375
2020-03-21,63.17291666666667,77.13736111111112,21.0,3.0,2020.0,12.0,11.5,155.25,155.66666666666666,-4.333333333333333,-0.08999999999999986
2020-03-22,94.25958333333334,89.89710069444443,22.0,3.0,2020.0,12.0,11.5,197.58333333333334,198.0,4.333333333333333,-2.189166666666667
2020-03-23,53.46875,63.93043402777778,23.0,3.0,2020.0,13.0,11.5,117.625,118.125,-5.125,1.4708333333333332
2020-03-24,63.1625,63.38147569444445,24.0,3.0,2020.0,13.0,11.5,109.91666666666667,110.45833333333333,0.7916666666666666,-2.383333333333333
2020-03-25,33.52791666666667,43.171579861111105,25.0,3.0,2020.0,13.0,11.5,71.04166666666667,71.54166666666667,-2.2083333333333335,0.65375
2020-03-26,30.914583333333336,32.88092013888889,26.0,3.0,2020.0,13.0,11.5,53.583333333333336,54.25,-0.16666666666666666,-0.22500000000000023
2020-03-27,20.587500000000002,25.44729166666667,27.0,3.0,2020.0,13.0,11.5,41.958333333333336,42.416666666666664,-0.7083333333333334,-1.1041666666666665
2020-03-28,20.5325,19.581770833333334,28.0,3.0,2020.0,13.0,11.5,32.25,32.541666666666664,0.0,0.7304166666666666
2020-03-29,26.422916666666666,25.216336805555557,29.0,3.0,2020.0,13.0,11.5,41.541666666666664,42.0,0.4166666666666667,-0.4499999999999999
2020-03-30,28.86583333333333,26.35076388888889,30.0,3.0,2020.0,14.0,11.5,43.5,43.833333333333336,0.16666666666666666,0.5112499999999999
2020-03-31,32.71875,32.89199652777778,31.0,3.0,2020.0,14.0,11.5,53.708333333333336,54.166666666666664,0.25,-0.49166666666666653
2020-04-01,25.27208333333333,25.95800347222222,1.0,4.0,2020.0,14.0,11.5,42.708333333333336,43.208333333333336,-0.5,-0.21375000000000002
2020-04-02,31.658749999999998,30.778333333333332,2.0,4.0,2020.0,14.0,11.5,50.458333333333336,50.791666666666664,0.4166666666666667,0.8933333333333335
2020-04-03,28.8225,30.879201388888887,3.0,4.0,2020.0,14.0,11.5,50.5,50.916666666666664,-0.16666666666666666,-0.6008333333333334
2020-04-04,39.70375,34.07321180555556,4.0,4.0,2020.0,14.0,11.5,55.875,56.333333333333336,0.75,0.6887500000000001
2020-04-05,55.835,48.610225694444445,5.0,4.0,2020.0,14.0,11.5,80.25,80.83333333333333,1.125,0.7687499999999998
2020-04-06,50.04333333333333,55.371388888888895,6.0,4.0,2020.0,15.0,11.5,91.75,92.16666666666667,-0.4166666666666667,-0.9033333333333333
2020-04-07,34.93625,39.31689236111111,7.0,4.0,2020.0,15.0,11.5,64.625,65.04166666666667,-1.0416666666666667,-0.5341666666666666
2020-04-08,31.29625,31.715625,8.0,4.0,2020.0,15.0,11.5,51.791666666666664,52.125,-0.25,0.03416666666666668
2020-04-09,36.319583333333334,34.34614583333333,9.0,4.0,2020.0,15.0,11.5,56.041666666666664,56.75,0.3333333333333333,1.2341666666666666
2020-04-10,67.69416666666667,59.291128472222226,10.0,4.0,2020.0,15.0,11.5,103.95833333333333,104.41666666666667,2.6666666666666665,-0.15041666666666664
