StationId,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
"NISE Gwal Pahari, Gurugram - IMD",12/31/17,229.87,395.4,95.94,27.91,110.87,,3.74,,20.81,,,,376,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/1/18,370.07,17.16,50.16,22.81,72.97,,4.18,,21.95,,,,435,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/2/18,360.72,,45.23,20.52,65.75,,4.22,,17.54,,,,495,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/3/18,270.12,444.17,48.85,19.25,68.1,,3.61,,15.03,,,,445,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/4/18,193.96,339.33,55.36,21.93,77.29,,3.54,,19.36,,,,382,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/5/18,297.87,380.12,41.28,21.56,62.84,,3.97,,18.58,,,,392,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/6/18,398.39,434.45,63.61,28.77,92.39,,4.28,,18.89,,,,497,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/7/18,217.21,408.64,59.09,23.8,79,,4.43,,20.71,,,,467,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/8/18,184.44,342.33,50.34,23.27,73.61,,4.25,,22.47,,,,343,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/9/18,267.2,436.51,46.56,22.69,69.24,,4.35,,21.46,,,,383,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/10/18,174.39,254.48,23.63,32.17,55.8,,4.25,,32.27,,,,391,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/11/18,131.18,226.75,18.23,29.89,48.12,,4.21,,30.95,,,,307,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/12/18,149.72,297.21,53.3,21.42,59.28,,4.17,,17.78,,,,318,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/13/18,217.76,356.04,53.71,21.24,74.95,,4.38,,18.55,,,,357,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/14/18,188.58,315.22,42.14,23.79,65.93,,4.43,,22.35,,,,374,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/15/18,232.08,291.64,54.18,25.82,74.57,,3.22,,24.68,,,,364,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/16/18,103.32,200.5,20.14,31.05,51.19,,1.76,,32.76,,,,319,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/17/18,281.42,342.67,56.81,25.27,82.62,,1.96,,20.24,,,,349,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/18/18,293.97,312.18,72.71,23.02,95.32,,2.17,,19.88,,,,451,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/19/18,350.43,666.72,58.92,29.63,84.21,,2.34,,21.78,,,,448,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/20/18,127.1,,29.84,45.7,75.54,,2.26,,28.33,,,,447,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/21/18,128.3,,51.58,24.1,75.67,,2.26,,22.86,,,,312,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/22/18,195.52,,46.13,26.08,72.21,,2.12,,27.79,,,,322,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/23/18,263.41,,88.98,19.56,91.22,,2.17,,15.67,,,,392,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/24/18,249.24,,95.03,15.28,105.85,,2.24,,9.34,,,,405,Severe
"NISE Gwal Pahari, Gurugram - IMD",1/25/18,168.01,,53.11,16.76,69.87,,2.28,,11.12,,,,367,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/26/18,196.25,,64.23,17.85,82.07,,2.34,,13.39,,,,338,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/27/18,218.64,,50.41,21.08,71.48,,2.38,,18.82,,,,376,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/28/18,205.41,,59.86,18.81,78.68,,2.45,,14.88,,,,382,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/29/18,221.82,253.13,60.52,19.59,80.11,,2.53,,16,,,,375,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/30/18,154.39,257.28,27.97,24.55,52.52,,2.5,,22.92,,,,344,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",1/31/18,171.89,286.09,28.33,24.56,52.89,,2.41,,22.33,,,,334,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/1/18,152.66,253.95,56.78,19.03,75.81,,2.37,,14.6,,,,325,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/2/18,211.72,351.43,71.44,20.16,78.66,,2.43,,16.8,,,,363,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/3/18,148.57,247.25,49.81,22.92,72.73,,2.45,,20.93,,,,336,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/4/18,166.27,276.56,35.55,26.22,61.77,,2.37,,23.33,,,,333,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/5/18,172.56,287.61,111.33,11.2,122.53,,2.34,,3.8,,,,337,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/6/18,173.99,289.85,111.87,11.28,123.15,,2.39,,3.68,,,,346,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/7/18,147.86,245.86,110.99,12.15,123.14,,2.28,,3.66,,,,324,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/8/18,179.65,298.95,112.54,11.68,124.23,,2.5,,3.85,,,,342,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/9/18,246.01,401.91,113.05,11.23,124.28,,2.62,,3.64,,,,377,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/10/18,164.11,273.52,109.38,14.29,123.67,,2.63,,3.53,,,,358,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/11/18,148.42,247.37,113.1,11.11,124.21,,2.58,,3.65,,,,326,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/12/18,104.34,157.27,79,24.3,103.3,,2.33,,21.47,,,,273,Poor
"NISE Gwal Pahari, Gurugram - IMD",2/13/18,150.02,151.24,10.71,47.44,58.15,,2.4,,78.94,,,,281,Poor
"NISE Gwal Pahari, Gurugram - IMD",2/14/18,114.11,123.5,12.4,41.18,53.58,,2.46,,58.84,,,,319,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/15/18,3.42,28.85,7.27,60.78,68.05,,2.5,,96.25,,,,266,Poor
"NISE Gwal Pahari, Gurugram - IMD",2/16/18,145.17,172.96,12.58,47.41,59.99,,2.28,,80.2,,,,319,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/17/18,149.51,180.86,12.6,48.66,61.25,,2.31,,84.97,,,,324,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/18/18,187.13,180.58,19.53,45.69,65.22,,2.38,,82.77,,,,348,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/19/18,206.73,236.1,29.5,27.81,57.31,,2.47,,35.7,,,,331,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",2/20/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/21/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/22/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/23/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/24/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/25/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/26/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/27/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",2/28/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",3/1/18,109.26,216.02,19.62,43.22,62.84,,2.46,,73.74,,,,287,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/2/18,102.12,167.04,16.01,49.83,65.84,,2.49,,88.2,,,,264,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/3/18,93.67,166.32,13.82,45.8,59.63,,2.36,,78.94,,,,231,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/4/18,75.85,160.73,17.13,41.31,58.44,,2.32,,68.28,,,,219,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/5/18,73.09,149.89,16.59,43.05,59.64,,2.22,,59.01,,,,156,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/6/18,63.42,120.31,12.38,47.72,60.11,,2.03,,81.88,,,,149,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/7/18,53.53,132.16,11.77,49.61,61.38,,2.05,,82.67,,,,165,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/8/18,65.2,147.01,16.7,46.74,63.44,,2.21,,85.47,,,,200,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/9/18,109,191.52,17.25,46.58,63.83,,2.37,,83.67,,,,244,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/10/18,63.36,152.3,16.46,45.04,61.5,,2.3,,74.93,,,,190,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/11/18,61.22,150.21,9.25,52.91,62.16,,2.24,,94.86,,,,173,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/12/18,76.06,179.26,17.74,46.3,64.03,,2.3,,85.33,,,,199,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/13/18,75.25,173.32,26.5,45.01,71.52,,2.3,,82.93,,,,201,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/14/18,62.68,191.47,13.71,49.8,63.51,,2.29,,84.76,,,,188,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/15/18,68.85,212.52,16.18,41.28,57.45,,2.24,,62.35,,,,179,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/16/18,81.59,199.15,18.42,44.67,63.09,,2.27,,81.13,,,,200,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/17/18,78.71,153.74,11.23,50.49,61.72,,2.21,,82.7,,,,208,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/18/18,72.49,136.34,18.48,36.15,54.62,,,,47.61,,,,172,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/19/18,67.09,137.64,22.37,34.26,56.64,,,,45.17,,,,122,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/20/18,90.64,167.07,25.31,36.81,62.11,,,,51.7,,,,161,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/21/18,90.93,206.58,23.4,37.25,60.65,,,,50.95,,,,207,Poor
"NISE Gwal Pahari, Gurugram - IMD",3/22/18,81.66,169.67,16.7,40.39,57.09,,1.27,,58.44,,,,189,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/23/18,63.59,138.47,11.11,45.21,56.32,,1.23,,68.66,,,,148,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/24/18,76.62,174.86,14.28,44.52,58.81,,1.42,,71.22,,,,160,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/25/18,68.55,158.38,10.07,48.32,58.38,,1.42,,77.31,,,,151,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/26/18,87.43,178.87,13.27,46.26,59.53,,1.15,,73.81,,,,156,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/27/18,81.94,189.2,22.28,37.89,60.17,,1.51,,57.27,,,,182,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/28/18,88.11,189.37,27.51,38.23,65.74,,1.66,,58.31,,,,191,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/29/18,85.46,177.84,37.18,22.82,60,,2.18,,21.45,,,,168,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/30/18,84.54,198.49,37.27,21.1,58.36,,3.36,,18.33,,,,186,Moderate
"NISE Gwal Pahari, Gurugram - IMD",3/31/18,94.97,237.63,36.03,19.05,55.08,,3.32,,14.95,,,,210,Poor
"NISE Gwal Pahari, Gurugram - IMD",4/1/18,100.59,161.19,31.51,19.5,51.01,,5.06,,14.64,,,,208,Poor
"NISE Gwal Pahari, Gurugram - IMD",4/2/18,58.41,128.53,33.14,21.92,55.06,,3.85,,16.42,,,,173,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/3/18,85.98,186.86,33.06,18.88,51.93,,3.16,,15.3,,,,148,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/4/18,97.55,211.96,35.92,19.24,55.16,,3.21,,15.85,,,,204,Poor
"NISE Gwal Pahari, Gurugram - IMD",4/5/18,119.78,264.98,30.36,20.31,50.42,,3.19,,17.55,,,,288,Poor
"NISE Gwal Pahari, Gurugram - IMD",4/6/18,73.08,179.57,30.8,20.93,51.72,,2.66,,17.84,,,,220,Poor
"NISE Gwal Pahari, Gurugram - IMD",4/7/18,87.35,147.11,33,19.17,52.17,,5.61,,13.89,,,,143,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/8/18,58.59,137.91,38.29,17.28,55.57,,5.46,,11.54,,,,148,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/9/18,43.74,105.56,40.93,16.65,57.59,,5.14,,10.69,,,,145,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/10/18,83.55,229.71,37.13,17.64,54.78,,5.09,,12.04,,,,153,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/11/18,40.73,112.53,39.11,17.12,56.23,,4.95,,11.33,,,,159,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/12/18,20.24,80.31,37.97,18.24,56.21,,4.65,,12.83,,,,141,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/13/18,10,146.19,34.05,18.93,52.98,,4.99,,13.9,,,,145,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/14/18,59.32,191.56,30.68,20.76,51.44,,5.58,,17.01,,,,153,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/15/18,125.49,185.32,35.74,18.12,53.85,,5.79,,12.71,,,,261,Poor
"NISE Gwal Pahari, Gurugram - IMD",4/16/18,198.61,313.55,34.18,18.46,52.64,,5.92,,13.16,,,,323,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",4/17/18,159.44,253.36,41.45,16.45,57.9,,5.67,,10.41,,,,359,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",4/18/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/19/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/20/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/21/18,10.9,249.14,,,,,0.19,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/22/18,40.76,203.33,,,,,0.33,,,,,,173,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/23/18,60.44,194.22,0.96,241.34,243.34,,0.86,,55.22,,,,165,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/24/18,76.49,235.17,0.75,,,,0.6,,38.39,,,,182,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/25/18,81.64,185.39,87.28,4.62,49.16,,1.81,,33.58,,,,179,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/26/18,59.79,170.98,22.24,2.45,37.85,,7.95,,15.75,,,,174,Moderate
"NISE Gwal Pahari, Gurugram - IMD",4/27/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/28/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/29/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",4/30/18,83.6,258.31,14.62,10.51,24.14,,0.27,,38.03,,,,,
"NISE Gwal Pahari, Gurugram - IMD",5/1/18,57.47,137.77,16.8,12.41,28.21,,0.23,,30.91,,,,136,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/2/18,59.63,158.02,15.98,12.01,27,,0.24,,29.73,,,,126,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/3/18,42.96,96.02,18.4,14.26,32.03,,0.2,,23.55,,,,122,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/4/18,40.71,83.46,19.29,14.38,32.72,,0.28,,32.58,,,,94,Satisfactory
"NISE Gwal Pahari, Gurugram - IMD",5/5/18,65.96,140.45,15.28,14.32,28.6,,0.33,,29.43,,,,105,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/6/18,110.32,233.09,17.37,18.47,34.84,,0.58,,18.77,,,,251,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/7/18,94.12,267.02,13.21,16.72,28.93,,0.48,,17.42,,,,181,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/8/18,53.2,150.69,14.64,14.51,28.18,,0.33,,25.42,,,,208,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/9/18,67.03,116.99,19.23,20.54,38.8,,0.44,,24.56,,,,110,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/10/18,88.73,161.19,22.47,22.07,43.55,,0.56,,28.8,,,,176,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/11/18,138.93,298.27,23.88,24.36,47.24,,0.79,,27.12,,,,290,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/12/18,157.63,376.01,25.96,24.11,49.07,,0.93,,36.47,,,,318,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",5/13/18,98.28,201.51,41.41,23.88,57.09,,0.88,,30.11,,,,300,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/14/18,40.72,193.84,17.39,18.3,34.72,,0.85,,31.38,,,,148,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/15/18,40.8,239.66,19.21,20.07,38.2,,0.91,,31.58,,,,,
"NISE Gwal Pahari, Gurugram - IMD",5/16/18,73.5,396.69,23.14,21.58,44.7,,0.89,,23.65,,,,126,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/17/18,65.16,280.83,19.29,24.19,42.51,,0.93,,28.44,,,,214,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/18/18,85.41,224.03,12.12,18.21,29.33,,0.95,,33.79,,,,231,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/19/18,89.11,188.75,25.76,27.97,52.84,,1.09,,19.13,,,,258,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/20/18,66.71,219.14,19.9,27.37,46.28,,0.99,,22.31,,,,165,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/21/18,73.91,203.56,13.72,24.09,36.81,,1.07,,24.93,,,,167,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/22/18,83.38,215.18,19.68,27.81,36.79,,1.13,,27.7,,,,174,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/23/18,109.53,386.66,11.96,27.04,38.01,,1.51,,2.52,,,,201,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/24/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",5/25/18,82.93,180.86,13.96,35.91,48.89,,1.12,,19.88,,,,,
"NISE Gwal Pahari, Gurugram - IMD",5/26/18,92,183.75,22.2,48.43,69.61,,1.36,,22.34,,,,235,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/27/18,73.71,175.09,48.78,49.09,82.84,,1.27,,19.37,,,,184,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/28/18,97.24,224.05,15.27,39.35,53.63,,1.44,,18.16,,,,141,Moderate
"NISE Gwal Pahari, Gurugram - IMD",5/29/18,157.32,248.04,17.39,38.73,55.12,,1.53,,27.24,,,,321,Very Poor
"NISE Gwal Pahari, Gurugram - IMD",5/30/18,74.93,210.3,20.74,29.21,53.86,,1.37,,26.04,,,,274,Poor
"NISE Gwal Pahari, Gurugram - IMD",5/31/18,89.91,169.52,21.74,35.74,57.13,,1.52,,22.41,,,,200,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/1/18,83.66,228.87,20.68,28.17,47.85,,1.51,,29.67,,,,164,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/2/18,52.32,145.61,20.66,27.31,46.97,,1.42,,31.02,,,,160,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/3/18,67.4,130.7,20.84,27.28,47.12,,1.53,,28.99,,,,129,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/4/18,77.67,159.65,22.81,27.09,48.89,,1.58,,31.34,,,,140,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/5/18,68.53,134.44,27.28,26.99,53.26,,1.52,,28.72,,,,141,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/6/18,82.23,148.17,30.19,30.69,59.88,,1.58,,27.03,,,,156,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/7/18,82.5,139.54,35.52,36.83,71.34,,1.66,,28.54,,,,186,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/8/18,,,,,,,,,,,,,154,Moderate
"NISE Gwal Pahari, Gurugram - IMD",6/9/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/10/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/11/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/12/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/13/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/14/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/15/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/16/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/17/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/18/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/19/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/20/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/21/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/22/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/23/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/24/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/25/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/26/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/27/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/28/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/29/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",6/30/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/1/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/2/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/3/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/4/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/5/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/6/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/7/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/8/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/9/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/10/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/11/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/12/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/13/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/14/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/15/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/16/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/17/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/18/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/19/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/20/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/21/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/22/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/23/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/24/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/25/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/26/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/27/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/28/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/29/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/30/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",7/31/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/1/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/2/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/3/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/4/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/5/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/6/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/7/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/8/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/9/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/10/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/11/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/12/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/13/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/14/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/15/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/16/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/17/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/18/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/19/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/20/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/21/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/22/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/23/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/24/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/25/18,,,,,,,,,,,,,,
"NISE Gwal Pahari, Gurugram - IMD",8/26/18,,,,,,,,,,,,,,
